i;j;@gate
203770;203772;951802
203772;203770;-951802
203842;203858;903903
203858;203842;-903903
204020;204029;958124
204029;204020;-958124
204258;204280;908315
204280;204258;-908315
204344;204350;-948102
204350;204344;948102
204350;204383;946209
204383;204350;-946209
204616;204728;-938022
204728;204616;938022
204694;204705;-928161
204705;204694;928161
204731;204786;-958222
204786;204731;958222
205043;205086;-987151
205086;205043;987151
205173;205216;-958202
205216;205173;958202
205179;205197;-951008
205197;205179;951008
205232;205377;930310
205377;205232;-930310
205377;205414;-938029
205414;205377;938029
205612;205720;-902602
205720;205612;902602
205827;205859;928125
205859;205827;-928125
205954;205957;912112
205957;205954;-912112
205978;205981;-908404
205981;205978;908404
206033;206073;-958410
206073;206033;958410
206083;206092;-989072
206092;206083;989072
206283;206315;-908185
206315;206283;908185
206338;206350;-903901
206350;206338;903901
