OBJECTID	Shape_Leng	Shape_Area	i	geometry
1	366105.8018189999856986	3952898447.4800000190734863	958001	POINT(831.557 7292.1)
1	366105.8018189999856986	3952898447.4800000190734863	958002	POINT(829.889 7293.028)
1	366105.8018189999856986	3952898447.4800000190734863	958003	POINT(812.027 7288.792)
1	366105.8018189999856986	3952898447.4800000190734863	958004	POINT(815.063 7287.514)
1	366105.8018189999856986	3952898447.4800000190734863	958005	POINT(815.171 7297.952)
1	366105.8018189999856986	3952898447.4800000190734863	958006	POINT(832.585 7299.023)
1	366105.8018189999856986	3952898447.4800000190734863	958007	POINT(826.745 7291.197)
1	366105.8018189999856986	3952898447.4800000190734863	958008	POINT(827.092 7290.985)
1	366105.8018189999856986	3952898447.4800000190734863	958009	POINT(830.164 7295.442)
1	366105.8018189999856986	3952898447.4800000190734863	958010	POINT(829.879 7295.976)
1	366105.8018189999856986	3952898447.4800000190734863	958012	POINT(830.333 7296.245)
1	366105.8018189999856986	3952898447.4800000190734863	958013	POINT(828.183 7298.138)
1	366105.8018189999856986	3952898447.4800000190734863	958014	POINT(832.183 7292.676)
1	366105.8018189999856986	3952898447.4800000190734863	958015	POINT(829.073 7292.09)
1	366105.8018189999856986	3952898447.4800000190734863	958016	POINT(828.714 7292.268)
1	366105.8018189999856986	3952898447.4800000190734863	958017	POINT(829.523 7292.267)
1	366105.8018189999856986	3952898447.4800000190734863	958018	POINT(829.244 7293.066)
1	366105.8018189999856986	3952898447.4800000190734863	958019	POINT(831.795 7291.853)
1	366105.8018189999856986	3952898447.4800000190734863	958020	POINT(822.857 7297.224)
1	366105.8018189999856986	3952898447.4800000190734863	958021	POINT(813.919 7283.674)
1	366105.8018189999856986	3952898447.4800000190734863	958022	POINT(831.66 7292.609)
1	366105.8018189999856986	3952898447.4800000190734863	958023	POINT(821.811 7298.175)
1	366105.8018189999856986	3952898447.4800000190734863	958024	POINT(823.768 7291.891)
1	366105.8018189999856986	3952898447.4800000190734863	958025	POINT(827.985 7296.054)
1	366105.8018189999856986	3952898447.4800000190734863	958027	POINT(835.63 7297.481)
1	366105.8018189999856986	3952898447.4800000190734863	958029	POINT(832.996 7293.038)
1	366105.8018189999856986	3952898447.4800000190734863	958031	POINT(834.073 7292.916)
1	366105.8018189999856986	3952898447.4800000190734863	958032	POINT(834.32 7292.688)
1	366105.8018189999856986	3952898447.4800000190734863	958033	POINT(834.583 7292.431)
1	366105.8018189999856986	3952898447.4800000190734863	958034	POINT(839.152 7326.931)
1	366105.8018189999856986	3952898447.4800000190734863	958035	POINT(829.15 7294.208)
1	366105.8018189999856986	3952898447.4800000190734863	958037	POINT(795.093 7294.537)
1	366105.8018189999856986	3952898447.4800000190734863	958038	POINT(829.43 7294.479)
1	366105.8018189999856986	3952898447.4800000190734863	958039	POINT(826.861 7294.527)
1	366105.8018189999856986	3952898447.4800000190734863	958041	POINT(831.291 7291.668)
1	366105.8018189999856986	3952898447.4800000190734863	958042	POINT(832.83 7293.832)
1	366105.8018189999856986	3952898447.4800000190734863	958043	POINT(830.404 7294.43)
1	366105.8018189999856986	3952898447.4800000190734863	958044	POINT(830.419 7292.193)
1	366105.8018189999856986	3952898447.4800000190734863	958045	POINT(829.473 7293.695)
1	366105.8018189999856986	3952898447.4800000190734863	958047	POINT(824.09 7333.276)
1	366105.8018189999856986	3952898447.4800000190734863	958048	POINT(832.182 7306.678)
1	366105.8018189999856986	3952898447.4800000190734863	958051	POINT(828.978 7295.948)
1	366105.8018189999856986	3952898447.4800000190734863	958052	POINT(832.244 7323.257)
1	366105.8018189999856986	3952898447.4800000190734863	958053	POINT(827.711 7294.069)
1	366105.8018189999856986	3952898447.4800000190734863	958054	POINT(825.349 7301.323)
1	366105.8018189999856986	3952898447.4800000190734863	958055	POINT(829.588 7292.024)
1	366105.8018189999856986	3952898447.4800000190734863	958056	POINT(830.818 7292.625)
1	366105.8018189999856986	3952898447.4800000190734863	958057	POINT(822.677 7312.693)
1	366105.8018189999856986	3952898447.4800000190734863	958058	POINT(831.239 7293.428)
1	366105.8018189999856986	3952898447.4800000190734863	958059	POINT(821.115 7298.435)
1	366105.8018189999856986	3952898447.4800000190734863	958060	POINT(829.705 7296.354)
1	366105.8018189999856986	3952898447.4800000190734863	958062	POINT(832.258 7287.23)
1	366105.8018189999856986	3952898447.4800000190734863	958063	POINT(827.702 7290.566)
1	366105.8018189999856986	3952898447.4800000190734863	958064	POINT(828.051 7290.722)
1	366105.8018189999856986	3952898447.4800000190734863	958065	POINT(828.897 7291.733)
1	366105.8018189999856986	3952898447.4800000190734863	958066	POINT(828.272 7293.675)
1	366105.8018189999856986	3952898447.4800000190734863	958067	POINT(819.495 7298.975)
1	366105.8018189999856986	3952898447.4800000190734863	958068	POINT(818.477 7299.843)
1	366105.8018189999856986	3952898447.4800000190734863	958069	POINT(818.068 7300.949)
1	366105.8018189999856986	3952898447.4800000190734863	958070	POINT(833.468 7293.46)
1	366105.8018189999856986	3952898447.4800000190734863	958071	POINT(833.711 7293.199)
1	366105.8018189999856986	3952898447.4800000190734863	958072	POINT(826.777 7294.936)
1	366105.8018189999856986	3952898447.4800000190734863	958073	POINT(824.165 7295.532)
1	366105.8018189999856986	3952898447.4800000190734863	958074	POINT(828.689 7296.327)
1	366105.8018189999856986	3952898447.4800000190734863	958075	POINT(828.228 7296.779)
1	366105.8018189999856986	3952898447.4800000190734863	958081	POINT(831.441 7296.87)
1	366105.8018189999856986	3952898447.4800000190734863	958082	POINT(826.257 7290.598)
1	366105.8018189999856986	3952898447.4800000190734863	958083	POINT(830.712 7297.335)
1	366105.8018189999856986	3952898447.4800000190734863	958084	POINT(829.495 7292.594)
1	366105.8018189999856986	3952898447.4800000190734863	958085	POINT(828.261 7287.17)
1	366105.8018189999856986	3952898447.4800000190734863	958086	POINT(819.49 7285.446)
1	366105.8018189999856986	3952898447.4800000190734863	958087	POINT(839.072 7289.611)
1	366105.8018189999856986	3952898447.4800000190734863	958088	POINT(825.75 7353.525)
1	366105.8018189999856986	3952898447.4800000190734863	958089	POINT(831.888 7313.669)
1	366105.8018189999856986	3952898447.4800000190734863	958090	POINT(820.648 7316.532)
1	366105.8018189999856986	3952898447.4800000190734863	958091	POINT(831.23 7296.379)
1	366105.8018189999856986	3952898447.4800000190734863	958092	POINT(832.395 7289.894)
1	366105.8018189999856986	3952898447.4800000190734863	958093	POINT(827.505 7294.933)
1	366105.8018189999856986	3952898447.4800000190734863	958094	POINT(848.341 7288.156)
1	366105.8018189999856986	3952898447.4800000190734863	958095	POINT(822.979 7298.3)
1	366105.8018189999856986	3952898447.4800000190734863	958096	POINT(828.767 7293.976)
1	366105.8018189999856986	3952898447.4800000190734863	95001	POINT(815.1026 7298.445801)
1	366105.8018189999856986	3952898447.4800000190734863	95101	POINT(815.198364 7301.382324)
1	366105.8018189999856986	3952898447.4800000190734863	95132	POINT(824.292352 7295.640111)
1	366105.8018189999856986	3952898447.4800000190734863	95133	POINT(824.357616 7295.167068)
1	366105.8018189999856986	3952898447.4800000190734863	95134	POINT(823.929077 7295.150391)
1	366105.8018189999856986	3952898447.4800000190734863	95135	POINT(826.488113 7295.330984)
1	366105.8018189999856986	3952898447.4800000190734863	95136	POINT(826.339176 7295.536405)
1	366105.8018189999856986	3952898447.4800000190734863	95137	POINT(826.444835 7289.981183)
1	366105.8018189999856986	3952898447.4800000190734863	95140	POINT(827.604847 7295.177852)
1	366105.8018189999856986	3952898447.4800000190734863	95141	POINT(827.369974 7295.26528)
1	366105.8018189999856986	3952898447.4800000190734863	95142	POINT(827.238076 7295.324566)
