OBJECTID	Shape_Leng	Shape_Area	i	j	id	geometry
1	366105.8018189999856986	3952898447.4800000190734863	958001	7800	958001-7800	LINESTRING(831.557 7292.1, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958001	204267	958001-204267	LINESTRING(831.557 7292.1, 831.252014 7292.080078)
1	366105.8018189999856986	3952898447.4800000190734863	958001	400420	958001-400420	LINESTRING(831.557 7292.1, 831.6039 7292.32)
1	366105.8018189999856986	3952898447.4800000190734863	958001	400425	958001-400425	LINESTRING(831.557 7292.1, 831.6129 7291.987)
1	366105.8018189999856986	3952898447.4800000190734863	958002	7800	958002-7800	LINESTRING(829.889 7293.028, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958002	400436	958002-400436	LINESTRING(829.889 7293.028, 829.9151 7292.877)
1	366105.8018189999856986	3952898447.4800000190734863	958002	400437	958002-400437	LINESTRING(829.889 7293.028, 829.7048 7293.343)
1	366105.8018189999856986	3952898447.4800000190734863	958003	204165	958003-204165	LINESTRING(812.027 7288.792, 812.257019 7288.580078)
1	366105.8018189999856986	3952898447.4800000190734863	958003	204176	958003-204176	LINESTRING(812.027 7288.792, 811.679993 7288.859863)
1	366105.8018189999856986	3952898447.4800000190734863	958004	204127	958004-204127	LINESTRING(815.063 7287.514, 815.190002 7287.379883)
1	366105.8018189999856986	3952898447.4800000190734863	958004	204134	958004-204134	LINESTRING(815.063 7287.514, 814.705017 7287.560059)
1	366105.8018189999856986	3952898447.4800000190734863	958005	7808	958005-7808	LINESTRING(815.171 7297.952, 818.250977 7301.100098)
1	366105.8018189999856986	3952898447.4800000190734863	958005	95001	958005-95001	LINESTRING(815.171 7297.952, 815.1026 7298.445801)
1	366105.8018189999856986	3952898447.4800000190734863	958006	7800	958006-7800	LINESTRING(832.585 7299.023, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958006	7809	958006-7809	LINESTRING(832.585 7299.023, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958006	204600	958006-204600	LINESTRING(832.585 7299.023, 832.315979 7298.77002)
1	366105.8018189999856986	3952898447.4800000190734863	958006	204613	958006-204613	LINESTRING(832.585 7299.023, 832.375977 7299.27002)
1	366105.8018189999856986	3952898447.4800000190734863	958007	7800	958007-7800	LINESTRING(826.745 7291.197, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958007	204225	958007-204225	LINESTRING(826.745 7291.197, 826.835999 7291.27002)
1	366105.8018189999856986	3952898447.4800000190734863	958007	204236	958007-204236	LINESTRING(826.745 7291.197, 825.088989 7291.47998)
1	366105.8018189999856986	3952898447.4800000190734863	958007	400479	958007-400479	LINESTRING(826.745 7291.197, 826.7912 7290.932)
1	366105.8018189999856986	3952898447.4800000190734863	958008	7800	958008-7800	LINESTRING(827.092 7290.985, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958008	204218	958008-204218	LINESTRING(827.092 7290.985, 827.427063 7291.009766)
1	366105.8018189999856986	3952898447.4800000190734863	958008	204226	958008-204226	LINESTRING(827.092 7290.985, 827.057007 7291.27002)
1	366105.8018189999856986	3952898447.4800000190734863	958008	400479	958008-400479	LINESTRING(827.092 7290.985, 826.7912 7290.932)
1	366105.8018189999856986	3952898447.4800000190734863	958009	7800	958009-7800	LINESTRING(830.164 7295.442, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958009	7809	958009-7809	LINESTRING(830.164 7295.442, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958009	204393	958009-204393	LINESTRING(830.164 7295.442, 830.585999 7295)
1	366105.8018189999856986	3952898447.4800000190734863	958009	400401	958009-400401	LINESTRING(830.164 7295.442, 830.1072 7296.045)
1	366105.8018189999856986	3952898447.4800000190734863	958009	400403	958009-400403	LINESTRING(830.164 7295.442, 830.3976 7295.483)
