i;j;@gate
203770;203772;918430
203772;203770;-918430
203842;203858;958164
203858;203842;-958164
204020;204029;928147
204029;204020;-928147
204258;204280;938044
204280;204258;-938044
204344;204350;-941707
204350;204344;941707
204350;204383;906116
204383;204350;-906116
204616;204728;-913206
204728;204616;913206
204694;204705;-930905
204705;204694;930905
204731;204786;-906201
204786;204731;906201
205043;205086;-958214
205086;205043;958214
205173;205216;-971252
205216;205173;971252
205179;205197;-948038
205197;205179;948038
205232;205377;918415
205377;205232;-918415
205377;205414;-916123
205414;205377;916123
205612;205720;-926017
205720;205612;926017
205827;205859;947105
205859;205827;-947105
205954;205957;918107
205957;205954;-918107
205978;205981;-918443
205981;205978;918443
206033;206073;-908315
206073;206033;908315
206083;206092;-928185
206092;206083;928185
206283;206315;-908135
206315;206283;908135
206338;206350;-956012
206350;206338;956012
