i;j;@gate
7806;9450;902313
9450;7806;-902313
7828;9216;-926019
9216;7828;926019
9139;9451;-908316
9451;9139;908316
203770;203772;987661
203772;203770;-987661
203842;203858;918002
203858;203842;-918002
204020;204029;928213
204029;204020;-928213
204258;204280;928125
204280;204258;-928125
204344;204350;-948035
204350;204344;948035
204350;204383;927140
204383;204350;-927140
204616;204728;-908023
204728;204616;908023
204694;204705;-928433
204705;204694;928433
204731;204786;-926014
204786;204731;926014
205043;205086;-918214
205086;205043;918214
205173;205216;-918109
205216;205173;918109
205179;205197;-908441
205197;205179;908441
205232;205377;958422
205377;205232;-958422
205377;205414;-928334
205414;205377;928334
205612;205720;-958115
205720;205612;958115
205827;205859;928454
205859;205827;-928454
205954;205957;908501
205957;205954;-908501
205978;205981;-908054
205981;205978;908054
206033;206073;-910107
206073;206033;910107
206083;206092;-918068
206092;206083;918068
206283;206315;-928230
206315;206283;928230
206338;206350;-930919
206350;206338;930919
