i;j;@gate
95103;204731;908325
204731;95103;-908325
203770;203772;952311
203772;203770;-952311
203842;203858;928471
203858;203842;-928471
204020;204029;958128
204029;204020;-958128
204258;204280;908050
204280;204258;-908050
204344;204350;-908001
204350;204344;908001
204350;204383;918403
204383;204350;-918403
204616;204728;-958239
204728;204616;958239
204694;204705;-918409
204705;204694;918409
205043;205086;-928179
205086;205043;928179
205173;205216;-942205
205216;205173;942205
205179;205197;-928123
205197;205179;928123
205232;205377;908028
205377;205232;-908028
205377;205414;-908440
205414;205377;908440
205612;205720;-989071
205720;205612;989071
205827;205859;932109
205859;205827;-932109
205954;205957;948237
205957;205954;-948237
205978;205981;-926012
205981;205978;926012
206033;206073;-918434
206073;206033;918434
206083;206092;-928305
206092;206083;928305
206283;206315;-958423
206315;206283;958423
206338;206350;-951403
206350;206338;951403
