i;j;@gate
7806;9450;902313
9450;7806;-902313
7828;9216;-926019
9216;7828;926019
9139;9451;-908316
9451;9139;908316
203770;203772;987661
203772;203770;-987661
203842;203858;918002
203858;203842;-918002
204020;204029;928213
204029;204020;-928213
204258;204280;928125
204280;204258;-928125
204344;204350;-948035
204350;204344;948035
204350;204383;927140
204383;204350;-927140
204616;204728;-908023
204728;204616;908023
204694;204705;-928433
204705;204694;928433
204731;204786;-926014
204786;204731;926014
205043;205086;-918214
205086;205043;918214
205173;205216;-918109
205216;205173;918109
205179;205197;-908441
205197;205179;908441
205232;205377;958422
205377;205232;-958422
205377;205414;-928334
205414;205377;928334
205612;205720;-958115
205720;205612;958115
205827;205859;928454
205859;205827;-928454
205954;205957;908501
205957;205954;-908501
205978;205981;-908054
205981;205978;908054
206033;206073;-910107
206073;206033;910107
206083;206092;-918068
206092;206083;918068
206283;206315;-928230
206315;206283;928230
206338;206350;-930919
206350;206338;930919
7800;958001;-958001
958001;7800;958001
7800;958002;-958002
958002;7800;958002
7800;958006;-958006
958006;7800;958006
7800;958007;-958007
958007;7800;958007
7800;958008;-958008
958008;7800;958008
7800;958009;-958009
958009;7800;958009
7800;958010;-958010
958010;7800;958010
7800;958012;-958012
958012;7800;958012
7800;958013;-958013
958013;7800;958013
7800;958014;-958014
958014;7800;958014
7800;958015;-958015
958015;7800;958015
7800;958016;-958016
958016;7800;958016
7800;958018;-958018
958018;7800;958018
7800;958019;-958019
958019;7800;958019
7800;958022;-958022
958022;7800;958022
7800;958024;-958024
958024;7800;958024
7800;958025;-958025
958025;7800;958025
7800;958027;-958027
958027;7800;958027
7800;958029;-958029
958029;7800;958029
7800;958031;-958031
958031;7800;958031
7800;958032;-958032
958032;7800;958032
7800;958033;-958033
958033;7800;958033
7800;958035;-958035
958035;7800;958035
7800;958038;-958038
958038;7800;958038
7800;958039;-958039
958039;7800;958039
7800;958041;-958041
958041;7800;958041
7800;958042;-958042
958042;7800;958042
7800;958043;-958043
958043;7800;958043
7800;958044;-958044
958044;7800;958044
7800;958045;-958045
958045;7800;958045
7800;958051;-958051
958051;7800;958051
7800;958053;-958053
958053;7800;958053
7800;958055;-958055
958055;7800;958055
7800;958056;-958056
958056;7800;958056
7800;958058;-958058
958058;7800;958058
7800;958060;-958060
958060;7800;958060
7800;958062;-958062
958062;7800;958062
7800;958063;-958063
958063;7800;958063
7800;958064;-958064
958064;7800;958064
7800;958065;-958065
958065;7800;958065
7800;958066;-958066
958066;7800;958066
7800;958070;-958070
958070;7800;958070
7800;958071;-958071
958071;7800;958071
7800;958072;-958072
958072;7800;958072
7800;958073;-958073
958073;7800;958073
7800;958074;-958074
958074;7800;958074
7800;958075;-958075
958075;7800;958075
7800;958081;-958081
958081;7800;958081
7800;958082;-958082
958082;7800;958082
7800;958083;-958083
958083;7800;958083
7800;958084;-958084
958084;7800;958084
7800;958085;-958085
958085;7800;958085
7800;958091;-958091
958091;7800;958091
7800;958092;-958092
958092;7800;958092
7800;958096;-958096
958096;7800;958096
7808;958005;-958005
958005;7808;958005
7808;958020;-958020
958020;7808;958020
7808;958023;-958023
958023;7808;958023
7808;958054;-958054
958054;7808;958054
7808;958059;-958059
958059;7808;958059
7808;958067;-958067
958067;7808;958067
7808;958068;-958068
958068;7808;958068
7808;958069;-958069
958069;7808;958069
7808;958095;-958095
958095;7808;958095
7809;958006;-958006
958006;7809;958006
7809;958009;-958009
958009;7809;958009
7809;958010;-958010
958010;7809;958010
7809;958012;-958012
958012;7809;958012
7809;958013;-958013
958013;7809;958013
7809;958020;-958020
958020;7809;958020
7809;958025;-958025
958025;7809;958025
7809;958035;-958035
958035;7809;958035
7809;958038;-958038
958038;7809;958038
7809;958039;-958039
958039;7809;958039
7809;958045;-958045
958045;7809;958045
7809;958051;-958051
958051;7809;958051
7809;958053;-958053
958053;7809;958053
7809;958054;-958054
958054;7809;958054
7809;958060;-958060
958060;7809;958060
7809;958066;-958066
958066;7809;958066
7809;958072;-958072
958072;7809;958072
7809;958073;-958073
958073;7809;958073
7809;958074;-958074
958074;7809;958074
7809;958075;-958075
958075;7809;958075
7809;958081;-958081
958081;7809;958081
7809;958083;-958083
958083;7809;958083
7809;958091;-958091
958091;7809;958091
7809;958093;-958093
958093;7809;958093
7809;958095;-958095
958095;7809;958095
7809;958096;-958096
958096;7809;958096
95001;958005;-958005
958005;95001;958005
95132;958073;-958073
958073;95132;958073
95133;958073;-958073
958073;95133;958073
204039;958021;-958021
958021;204039;958021
